session_test_id,age,gender,num_mushra,num_spatial,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",Mono,0,108856,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",FOA-Amb-Param2,77,108856,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",FOA,52,108856,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",FOA-Amb-Param1,77,108856,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",Param1,34,108856,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",Param2,59,108856,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",Harpex,68,108856,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,reference,100,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,Param1,79,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,FOA-Amb-Param1,88,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,FOA-Amb-Param2,100,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,Harpex,49,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,Mono,0,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,FOA,63,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_anech,Param2,100,151159,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,Mono,0,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,reference,100,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,Harpex,66,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,Param1,74,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,Param2,84,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,FOA,74,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,FOA-Amb-Param2,100,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_medrev,FOA-Amb-Param1,78,101256,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",Param2,100,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",Harpex,74,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",FOA-Amb-Param2,82,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",FOA,59,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",Param1,20,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",reference,79,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",Mono,0,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_anech",FOA-Amb-Param1,57,122628,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,FOA-Amb-Param2,100,121846,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,Param1,87,121846,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,FOA,68,121846,
